
== Client Refactored ==
Composite	FFT	SOR	Monte	Sparse	LU	
557.0903814995265	473.3353234964625	641.890440055787	96.73350264426614	633.5041065128372	939.9885347882802	
556.234831947628	472.05430893451285	640.1843900681973	96.83819332054864	635.6546929990848	936.442574415796	
557.6870990093214	472.8220903780657	641.8903890769056	97.15362102358489	636.5808597797702	939.9885347882802	
557.3343654331463	470.65318672978344	641.6766548575051	97.15362102358489	637.1998297665781	939.9885347882802	
557.3421489961481	471.5438485435815	642.1043167408325	97.15362102358489	636.890157492958	939.0188011797837	
557.7086588146249	473.4637982561118	641.890440055787	96.94310250006492	636.5808597797702	939.6650934813902	
557.8269675316772	473.3353234964625	642.1042657279731	97.15362102358489	637.1998297665781	939.3417976437869	
557.6895566023975	473.2068878332829	641.8903890769056	97.11847392461695	636.890157492958	939.3418746842237	
557.4870951756649	473.3353234964625	641.8903890769056	95.02139875009792	637.1998297665781	939.9885347882802	
557.3122729834392	470.01903964883405	641.890440055787	97.15362102358489	637.5097294007101	939.9885347882802	

== Client MLVM ==
Composite	FFT	SOR	Monte	Sparse	LU	
28.62013590715647	10.382384761904762	37.55369109926665	25.087424005590137	33.07226486196219	37.00491480705861	
28.44372167250838	9.54932074368222	37.43695608156005	25.58477327154775	32.99234743395647	36.65521083179542	
28.522640474600212	10.161730348493833	37.11392673261999	25.27640855863045	33.07226486196219	36.98887187129462	
28.602696802608722	10.358708489182764	37.20564980716245	25.42002552800741	33.07226486196219	36.956835326728786	
28.286504405978388	10.108961052437582	36.695519308103144	25.031280918772897	32.846832950404156	36.749927800174156	
28.26413729940358	9.355907655572004	37.02265208214997	25.078049713893797	33.01894151191963	36.845135533482505	
28.57908667639058	9.637114334608158	37.11392673261999	26.431220714553028	32.979066453036964	36.73410514713476	
28.333951426622683	9.66788220811633	36.86400045196281	25.41039877927667	33.07226486196219	36.65521083179542	
28.41301748579908	10.514567870285576	36.920504261651736	25.078049713893797	32.83366570314986	36.71829988001445	
28.51492454166533	10.350838814383312	37.35567272177528	25.32409871128519	33.04558167591232	36.498430784970544	

== Client Unmodified ==
Composite	FFT	SOR	Monte	Sparse	LU	
547.6576174098719	438.2514149851803	634.9110225717133	98.47228505158613	629.2462961140518	937.4070683268282	
546.7718893828498	435.1897916225467	633.2418727802554	98.47228505158613	629.5485058564283	937.4069916034321	
546.2201897849803	434.7558832287722	633.658361755748	98.5445881995252	628.3413334479327	935.8007822929237	
546.4697680292726	436.06016	634.9110225717133	98.79847451094128	627.7395175037847	934.8396655599233	
547.7320040671216	438.2514149851803	634.9110724480201	98.2200702765685	629.5485058564283	937.7289567694106	
547.1386125562773	435.1897398474359	634.9110724480201	98.61699760246756	629.2462961140518	937.7289567694106	
547.4554679558253	436.4966510313101	636.799402982425	98.83484833669898	627.7394458252598	937.4069916034321	
547.8092695873238	438.3615480941949	634.9110724480201	98.79847451094128	629.2462961140518	937.7289567694106	
546.7951738484255	436.06016	634.7019102522448	98.68950484429067	627.4389700226012	937.0853241229906	
546.6739716379236	438.3615743604782	634.9110724480201	98.8348570127172	623.8552860415742	937.4070683268282	

== Server Refactored ==
Composite	FFT	SOR	Monte	Sparse	LU	
896.6119803829445	602.7093128918272	904.2491647377733	345.5879843914859	735.5330820992073	1894.9803577944288	
898.637201376029	608.1731594979177	905.9496583591301	344.36876635365593	729.7995530156101	1904.8948696538316	
893.71428706048	597.3427180972498	905.0986635092272	345.6992409730622	726.7646497057874	1893.6661630170738	
885.8135511257951	603.1260941071253	905.5239609968755	344.8111361365941	734.914512049329	1840.6920523390518	
890.8202574618954	604.5894786016688	907.6565597868441	345.5879578724666	736.7734994427854	1859.4937916057124	
890.3126080119991	603.3347009467024	907.2292571773567	345.6992409730622	733.2699691916496	1862.029871771225	
891.999016613747	605.6391371825429	907.2292571773567	350.7814013382048	733.6803900322482	1862.6648973383826	
899.4845819191121	604.5894786016688	907.2292571773567	345.6992409730622	733.6803900322482	1906.2245428112249	
880.1052038179038	603.5435019314017	905.0986635092272	308.1038325168947	731.224587571415	1852.5554335605802	
904.6117643608279	604.1706232407286	907.2292571773567	345.921995748752	731.8369590835248	1933.8999865537767	

== Server MLVM ==
